[57, array([  8.60599512e-06,   7.82484283e-07]), 2.4443826973641336e-05, 6.9610630009986352e-05]
[58, array([  8.60599512e-06,   7.82484283e-07]), 2.4443826973641336e-05, 5.4473657858711277e-05]
[59, array([  1.18242002e-06,  -4.17047945e-06]), 1.2261337517305293e-05, 5.1800021446535281e-05]
[60, array([  3.16230456e-06,  -1.14734746e-06]), 9.5151639674107003e-06, 3.7180185317797762e-05]
#############################################################
[1, array([-1.14100745,  1.52169335]), 6.5990490664064616, 17.533194072543992]
[2, array([-1.14100745,  1.52169335]), 6.5990490664064616, 17.33717440439311]
[3, array([-2.13656185,  0.11754726]), 5.9335051730644039, 15.359686893612837]
[4, array([-2.13656185,  0.11754726]), 5.9335051730644039, 14.758533350632911]
[5, array([-2.13656185,  0.11754726]), 5.9335051730644039, 13.621798718443296]
[6, array([ 0.70770399,  0.58129226]), 4.5809661149416883, 11.035132069771983]
[7, array([ 0.70770399,  0.58129226]), 4.5809661149416883, 10.111991574793064]
[8, array([-1.22035831, -0.04549069]), 4.1182218937385002, 8.0868056370425201]
[9, array([-1.22035831, -0.04549069]), 4.1182218937385002, 7.5935028401317792]
[10, array([ 0.09368995, -0.74659037]), 3.2377018829084503, 6.5906067729385338]
[11, array([-0.07983566, -0.80300084]), 3.0497982051355987, 5.2845512995242867]
[12, array([-0.07983566, -0.80300084]), 3.0497982051355987, 4.6936290173002639]
[13, array([-0.02846768, -0.80687089]), 2.9281222482294003, 4.3189390609754721]
[14, array([ 0.91631867,  0.00146946]), 2.6084116904055183, 3.9424820202800035]
[15, array([ 0.91631867,  0.00146946]), 2.6084116904055183, 3.7321374748057523]
[16, array([-0.23893582,  0.10909639]), 1.9228885440036589, 3.3823015946048001]
[17, array([-0.09511856, -0.1191276 ]), 0.96405472227742139, 2.8134580175081823]
[18, array([-0.09511856, -0.1191276 ]), 0.96405472227742139, 2.5400085572848563]
[19, array([ 0.07054828,  0.05180636]), 0.44138793761261441, 2.1201679366351902]
[20, array([ 0.0192144 , -0.08172905]), 0.41508832252350247, 1.5222493151328724]
[21, array([-0.03764425,  0.03773193]), 0.22499527680928866, 0.96162666214456283]
[22, array([-0.03764425,  0.03773193]), 0.22499527680928866, 0.71881221023511743]
[23, array([ 0.0192144 ,  0.03106239]), 0.13850491256029018, 0.55562533462722552]
[24, array([ 0.0192144 ,  0.03106239]), 0.13850491256029018, 0.47255054560006632]
[25, array([ 0.00248489, -0.0167713 ]), 0.055590736091187143, 0.42798319368600451]
[26, array([ 0.00248489, -0.0167713 ]), 0.055590736091187143, 0.33543260809406911]
[27, array([ 0.00187547, -0.00975615]), 0.030725942335987799, 0.23687840694261686]
[28, array([ 0.00187547, -0.00975615]), 0.030725942335987799, 0.161640994994936]
[29, array([ 0.00187547, -0.00975615]), 0.030725942335987799, 0.14435527896750147]
[30, array([-0.00239264,  0.00047618]), 0.007058600968222084, 0.10144487293972651]
[31, array([-0.00239264,  0.00047618]), 0.007058600968222084, 0.079113471158736015]
[32, array([-0.00239264,  0.00047618]), 0.007058600968222084, 0.062073138923672298]
[33, array([-0.00239264,  0.00047618]), 0.007058600968222084, 0.043454687823602088]
[34, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.032405811302326358]
[35, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.025758297526048059]
[36, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.021181374425940636]
[37, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.01718750191151406]
[38, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.01637734542601299]
[39, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.01273115383924397]
[40, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.011458883145270438]
[41, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.010158082147603142]
[42, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.0083536957672499142]
[43, array([-0.00047397, -0.00024715]), 0.0015195149434039656, 0.0063864393346809043]
[44, array([-0.00016564, -0.00015101]), 0.00063531163949592795, 0.0045650464515751389]
[45, array([  1.11856579e-04,  -6.44811328e-05]), 0.00036562560403341493, 0.0032434026414075666]
[46, array([  1.11856579e-04,  -6.44811328e-05]), 0.00036562560403341493, 0.0028741602995075331]
[47, array([  1.46153640e-05,   9.89775149e-05]), 0.0002832528762266584, 0.0021585318984867819]
[48, array([  1.46153640e-05,   9.89775149e-05]), 0.0002832528762266584, 0.0018297217363790531]
[49, array([  1.46153640e-05,   9.89775149e-05]), 0.0002832528762266584, 0.0013099758812516349]
[50, array([  1.46153640e-05,   9.89775149e-05]), 0.0002832528762266584, 0.0010899825162110411]
[51, array([  1.46153640e-05,   9.89775149e-05]), 0.0002832528762266584, 0.00096657739060530541]
[52, array([  7.00371655e-05,   1.34869362e-05]), 0.00020186997982252208, 0.00073450166721107375]
[53, array([  1.46153640e-05,  -4.38083056e-07]), 4.1362751372009399e-05, 0.00057373629231465277]
[54, array([  1.46153640e-05,  -4.38083056e-07]), 4.1362751372009399e-05, 0.00038330239049217952]
[55, array([  1.46153640e-05,  -4.38083056e-07]), 4.1362751372009399e-05, 0.00031036217904523156]
[56, array([  1.46153640e-05,  -4.38083056e-07]), 4.1362751372009399e-05, 0.00026517032384267838]
[57, array([  1.46153640e-05,  -4.38083056e-07]), 4.1362751372009399e-05, 0.00019621914892811176]
