---------------------#1: seed=510---------------------------
[12, array([-0.00461101,  0.42990478]), 2.8494257001227514, 4.9990195746219133]
[13, array([ 0.16080508, -0.32929467]), 2.7011826247255404, 4.2687289470199659]
[14, array([-0.15684392,  0.18591119]), 1.7910761007619844, 3.5253017857823963]
[15, array([-0.15684392,  0.18591119]), 1.7910761007619844, 3.2904332856384357]
[16, array([-0.09968323,  0.09132868]), 0.81514573065238283, 2.9003957728823258]
[17, array([-0.09968323,  0.09132868]), 0.81514573065238283, 2.4862398456812942]
[18, array([-0.09968323,  0.09132868]), 0.81514573065238283, 2.2141242329340889]
[19, array([ 0.04781002,  0.01290756]), 0.2041322296985979, 1.7733058067534686]
[20, array([ 0.0189381 , -0.00115201]), 0.063221295383737885, 1.4836022122791614]
[21, array([ 0.0189381 , -0.00115201]), 0.063221295383737885, 1.2444594055096985]
[22, array([ 0.0189381 , -0.00115201]), 0.063221295383737885, 0.96845170663742619]
[23, array([ 0.0189381 , -0.00115201]), 0.063221295383737885, 0.65706662264988525]
[24, array([ 0.0189381 , -0.00115201]), 0.063221295383737885, 0.46269485891221451]
[25, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.2896664032064673]
[26, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.22388033951240988]
[27, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.16561823135635861]
[28, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.12268981424621073]
[29, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.0710710830446529]
[30, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.051307999828187345]
[31, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.043772304992651188]
[32, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.038075103508249428]
[33, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.028000307204000041]
[34, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.021223881049821803]
[35, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.019634573523181497]
[36, array([-0.00083633, -0.00115201]), 0.004080436364600093, 0.014547903227578285]
[37, array([-0.00062498,  0.00062435]), 0.0025194436188553659, 0.013010770351530265]
[38, array([  4.56977340e-05,   6.54761615e-04]), 0.0018679219871491348, 0.0095900335456838622]
[39, array([ 0.0003342 , -0.00038044]), 0.0014390868966569492, 0.0067792346415953553]
[40, array([ 0.0003342 , -0.00038044]), 0.0014390868966569492, 0.0054270654111152616]
[41, array([ 0.0003342 , -0.00038044]), 0.0014390868966569492, 0.0045307591979976362]
