---------------------#1: seed=510---------------------------
[4, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 13.971460701029955]
[5, array([ 2.04322892, -0.38132405]), 6.6907921355436528, 13.4489962784276]
[6, array([ 2.14597633, -0.92933185]), 6.2214326492684826, 11.521225640707183]
[7, array([-0.1706933 ,  0.36153448]), 2.8977831430314152, 9.6327761800001959]
[8, array([-0.1706933 ,  0.36153448]), 2.8977831430314152, 8.4685262025304002]
[9, array([-0.1706933 ,  0.36153448]), 2.8977831430314152, 7.2167797348307179]
[10, array([-0.1706933 ,  0.36153448]), 2.8977831430314152, 6.2739838019154108]
[11, array([-0.1706933 ,  0.36153448]), 2.8977831430314152, 5.4933872377269113]
[12, array([-0.1706933 ,  0.36153448]), 2.8977831430314152, 5.0212359944183147]
[13, array([-0.35299312, -0.15925799]), 2.8152297881642956, 4.2650366184342419]
[14, array([-0.35299312, -0.15925799]), 2.8152297881642956, 4.0755693754067321]
[15, array([-0.05306043, -0.14471349]), 0.96884916995522419, 3.5514453513375743]
[16, array([ 0.09353094, -0.1197554 ]), 0.95955045086810786, 3.0515011419666016]
[17, array([ 0.03808949,  0.11568275]), 0.69810919346822375, 2.4657276226953679]
[18, array([ 0.04251774,  0.0434773 ]), 0.26810601795737954, 1.7309612323384662]
[19, array([ 0.04326319, -0.03700095]), 0.2454799292207821, 1.2043982929494317]
[20, array([ 0.04326319, -0.03700095]), 0.2454799292207821, 0.82218106852003747]
[21, array([-0.00823201,  0.02493119]), 0.092519554388904357, 0.58335371547104931]
[22, array([ 0.01775979, -0.00974734]), 0.068197774954651624, 0.43172540453422775]
[23, array([ 0.01775979, -0.00974734]), 0.068197774954651624, 0.31207487201307182]
[24, array([ 0.01775979, -0.00974734]), 0.068197774954651624, 0.26807069494821478]
[25, array([ 0.00558898,  0.0115402 ]), 0.040639950001033487, 0.18994695042929174]
[26, array([ 0.00558898,  0.0115402 ]), 0.040639950001033487, 0.14831139620041922]
[27, array([ 0.00360036, -0.00173552]), 0.011730062922808759, 0.085280229534295149]
[28, array([ 0.00360036, -0.00173552]), 0.011730062922808759, 0.051467017702889792]
[29, array([ 0.00360036, -0.00173552]), 0.011730062922808759, 0.038940696264503936]
[30, array([ 0.00133317,  0.00120436]), 0.0051675375299180537, 0.025968877521132593]
[31, array([ 0.00133317,  0.00120436]), 0.0051675375299180537, 0.021607305959055356]
[32, array([ 0.00133317,  0.00120436]), 0.0051675375299180537, 0.019046703858497958]
[33, array([ 0.00133317,  0.00120436]), 0.0051675375299180537, 0.015145416999982775]
[34, array([ 0.00022566,  0.00124096]), 0.0036098866303224675, 0.013584575891566697]
[35, array([ 0.00022566,  0.00124096]), 0.0036098866303224675, 0.01009217213729725]
[36, array([ 0.00022566,  0.00124096]), 0.0036098866303224675, 0.0090260489864880892]
[37, array([-0.00048322, -0.00027423]), 0.0015797295209840634, 0.006627634321880382]
[38, array([-0.00021861, -0.00021442]), 0.00086860658583676198, 0.0044711560440879872]
