[13, array([ 0.09873582, -0.38957812]), 2.8006400848266435, 8.5463607178623953]
[14, array([ 0.09873582, -0.38957812]), 2.8006400848266435, 7.8674374081869045]
[15, array([ 0.09873582, -0.38957812]), 2.8006400848266435, 6.7048252820474898]
[16, array([ 0.09873582, -0.38957812]), 2.8006400848266435, 5.769597600378261]
[17, array([-0.31005767, -0.00484237]), 2.2054140201683556, 5.2796229422782641]
[18, array([-0.31005767, -0.00484237]), 2.2054140201683556, 5.1462172125542294]
[19, array([-0.31005767, -0.00484237]), 2.2054140201683556, 4.7858217380951222]
[20, array([-0.31005767, -0.00484237]), 2.2054140201683556, 4.6680138086851724]
[21, array([-0.31005767, -0.00484237]), 2.2054140201683556, 4.4734005819755893]
[22, array([-0.31005767, -0.00484237]), 2.2054140201683556, 4.1104489521235594]
[23, array([-0.31005767, -0.00484237]), 2.2054140201683556, 3.8181280946498708]
[24, array([ 0.28587821,  0.04084774]), 2.0681959083719517, 3.4305456600315383]
[25, array([ 0.28587821,  0.04084774]), 2.0681959083719517, 3.2643621168585684]
[26, array([ 0.10940145,  0.12036501]), 1.0557671686915318, 2.4807176578327939]
[27, array([-0.03632649,  0.08859144]), 0.49909987206496043, 2.289928084700624]
[28, array([-0.03632649,  0.08859144]), 0.49909987206496043, 2.2403503317444744]
[29, array([-0.03632649,  0.08859144]), 0.49909987206496043, 2.1165362313875127]
[30, array([-0.03632649,  0.08859144]), 0.49909987206496043, 1.9001967142807072]
[31, array([-0.00840027,  0.08503322]), 0.42495813316739062, 1.4181196073632205]
[32, array([-0.00580581,  0.00997308]), 0.036182610532581538, 1.1636242027788222]
[33, array([-0.00580581,  0.00997308]), 0.036182610532581538, 0.92855164096673382]
[34, array([-0.00580581,  0.00997308]), 0.036182610532581538, 0.81795168517369332]
[35, array([-0.00580581,  0.00997308]), 0.036182610532581538, 0.60664114756396859]
[36, array([-0.00580581,  0.00997308]), 0.036182610532581538, 0.5066468406253033]
[37, array([-0.00580581,  0.00997308]), 0.036182610532581538, 0.42794499043398704]
[38, array([-0.00580581,  0.00997308]), 0.036182610532581538, 0.28527402251909323]
[39, array([-0.00580581,  0.00997308]), 0.036182610532581538, 0.26610427439731527]
[40, array([-0.00580581,  0.00997308]), 0.036182610532581538, 0.21398450796932283]
[41, array([-0.00580581,  0.00997308]), 0.036182610532581538, 0.1662435211603282]
[42, array([ 0.00110119, -0.00261724]), 0.0082459036186652845, 0.13078301180990595]
[43, array([ 0.00110119, -0.00261724]), 0.0082459036186652845, 0.12541115165614986]
[44, array([ 0.00110119, -0.00261724]), 0.0082459036186652845, 0.10470924568654487]
[45, array([ 0.00110119, -0.00261724]), 0.0082459036186652845, 0.077858272859053113]
[46, array([ 0.00110119, -0.00261724]), 0.0082459036186652845, 0.067342424716425861]
[47, array([ 0.00110119, -0.00261724]), 0.0082459036186652845, 0.054732028300587654]
[48, array([ 0.00110119, -0.00261724]), 0.0082459036186652845, 0.045302467991584106]
[49, array([ 0.00191281,  0.0004734 ]), 0.0056768680002119432, 0.036490106069747251]
[50, array([ 0.00191281,  0.0004734 ]), 0.0056768680002119432, 0.026243468127288505]
[51, array([ 0.00191281,  0.0004734 ]), 0.0056768680002119432, 0.02311737234771245]
[52, array([ 0.00191281,  0.0004734 ]), 0.0056768680002119432, 0.01946789389238477]
[53, array([ 0.00155652, -0.00051761]), 0.0047112001562656936, 0.016645758296061519]
[54, array([ 0.00155652, -0.00051761]), 0.0047112001562656936, 0.014323205354046475]
[55, array([-0.00026647,  0.00140507]), 0.0040994255329889207, 0.010981824419693443]
[56, array([ -5.37729553e-05,  -1.41825021e-03]), 0.0040679369632354856, 0.0090418407221064534]
[57, array([  3.22190731e-05,  -1.06611928e-03]), 0.0030471108331906471, 0.0081742434957351225]
[58, array([  3.22190731e-05,  -1.06611928e-03]), 0.0030471108331906471, 0.0073198759376295721]
[59, array([-0.00081844,  0.0004967 ]), 0.0027322409650349933, 0.0057468633348332961]
[60, array([-0.00023077, -0.00050019]), 0.001566138241433368, 0.0048827849968463791]
[61, array([ -1.13473711e-04,   7.70560131e-05]), 0.00038845883938920522, 0.004297629081511811]
[62, array([ -1.13473711e-04,   7.70560131e-05]), 0.00038845883938920522, 0.0035453907784016359]
[63, array([ -1.13473711e-04,   7.70560131e-05]), 0.00038845883938920522, 0.0030619009304262866]
[64, array([ -1.13473711e-04,   7.70560131e-05]), 0.00038845883938920522, 0.0027588251499635953]
[65, array([ -1.13473711e-04,   7.70560131e-05]), 0.00038845883938920522, 0.0024010421501936994]
[66, array([ -1.13473711e-04,   7.70560131e-05]), 0.00038845883938920522, 0.0021377295082980474]
[67, array([ -1.13473711e-04,   7.70560131e-05]), 0.00038845883938920522, 0.0019322003311409651]
[68, array([ -1.13473711e-04,   7.70560131e-05]), 0.00038845883938920522, 0.0018664207821308843]
[69, array([  3.46421692e-05,  -4.18064065e-05]), 0.00015364556354358072, 0.0013802425200954537]
[70, array([  3.46421692e-05,  -4.18064065e-05]), 0.00015364556354358072, 0.0010807310287083815]
[71, array([  3.46421692e-05,  -4.18064065e-05]), 0.00015364556354358072, 0.001011056078552297]
[72, array([  3.46421692e-05,  -4.18064065e-05]), 0.00015364556354358072, 0.00087177587228124407]
[73, array([  3.46421692e-05,  -4.18064065e-05]), 0.00015364556354358072, 0.00070673580460427492]
[74, array([  3.46421692e-05,  -4.18064065e-05]), 0.00015364556354358072, 0.00068831435808283106]
[75, array([  3.46421692e-05,  -4.18064065e-05]), 0.00015364556354358072, 0.00052246041065133757]
[76, array([  3.37756461e-05,  -3.86590046e-05]), 0.00014526832571037929, 0.00039638637268160084]
[77, array([  3.88530386e-05,  -1.15604037e-05]), 0.00011469807233099871, 0.00035947290794302589]
[78, array([ -1.17444363e-05,  -2.64290127e-05]), 8.1823225937416311e-05, 0.00031594908004963786]
[79, array([ -1.17444363e-05,  -2.64290127e-05]), 8.1823225937416311e-05, 0.0002953288332588677]
[80, array([ -1.17444363e-05,  -2.64290127e-05]), 8.1823225937416311e-05, 0.00025622968610674592]
[81, array([ -1.17444363e-05,  -2.64290127e-05]), 8.1823225937416311e-05, 0.00020880085511576496]
[82, array([  9.34638199e-06,   6.23804710e-06]), 3.1786135988642883e-05, 0.00014430600206774002]
[83, array([ -4.57153627e-07,   6.23804710e-06]), 1.7692219458798064e-05, 0.00013198920098167477]
[84, array([ -4.57153627e-07,   6.23804710e-06]), 1.7692219458798064e-05, 0.00012149567026638053]
